domain	clickable_num	auto_type	type	css_selector	text	raw_html
webstaqram.com	5	other	other	#onetrust-consent-sdk [class*="button"]	By clicking “Accept All Cookies”, you agree to the storing of cookies on your device to enhance site navigation, analyze site usage, and assist in our marketing efforts.Do Not Accept Accept All CookiesCookies Settings	<div id="onetrust-banner-sdk" class="otCenterRounded default ot-buttons-fw"><div class="ot-sdk-container"><div class="ot-sdk-row"><div id="onetrust-group-container" class="ot-sdk-twelve ot-sdk-columns"><div id="onetrust-policy"><div class="banner-header"><div class="banner_logo"></div><!-- Mobile Close Button --><div id="onetrust-close-btn-container"><button class="onetrust-close-btn-handler onetrust-close-btn-ui banner-close-button ot-close-icon" aria-label="Close" tabindex="0"></button></div><!-- Mobile Close Button END--></div><p id="onetrust-policy-text">By clicking “Accept All Cookies”, you agree to the storing of cookies on your device to enhance site navigation, analyze site usage, and assist in our marketing efforts. </p></div></div><div id="onetrust-button-group-parent" class="ot-sdk-twelve ot-sdk-columns has-reject-all-button"><div id="onetrust-button-group"><div class="banner-actions-container"><button id="onetrust-reject-all-handler" tabindex="0">Do Not Accept</button> <button id="onetrust-accept-btn-handler" tabindex="0">Accept All Cookies</button></div><button id="onetrust-pc-btn-handler" tabindex="0" class="cookie-setting-link">Cookies Settings</button></div></div></div></div></div>
webstaqram.com	6	duplicate	duplicate	#onetrust-consent-sdk [class*="button"]		<button class="onetrust-close-btn-handler onetrust-close-btn-ui banner-close-button ot-close-icon" aria-label="Close" tabindex="0"></button>
webstaqram.com	7	opt-out option	opt-out option	#onetrust-consent-sdk [class*="button"]	Do Not Accept Accept All CookiesCookies Settings	<div id="onetrust-button-group-parent" class="ot-sdk-twelve ot-sdk-columns has-reject-all-button"><div id="onetrust-button-group"><div class="banner-actions-container"><button id="onetrust-reject-all-handler" tabindex="0">Do Not Accept</button> <button id="onetrust-accept-btn-handler" tabindex="0">Accept All Cookies</button></div><button id="onetrust-pc-btn-handler" tabindex="0" class="cookie-setting-link">Cookies Settings</button></div></div>
webstaqram.com	8	duplicate	duplicate	#onetrust-consent-sdk [id*="accept"]	Accept All Cookies	<button id="onetrust-accept-btn-handler" tabindex="0">Accept All Cookies</button>
themesquare.com	0	opt-in option	opt-in option	.cookie-revoke-hidden a	Accept	<a href="#" id="cn-accept-cookie" data-cookie-set="accept" class="cn-set-cookie cn-button wp-default button" aria-label="Accept">Accept</a>
themesquare.com	1	policy link	policy link	.cookie-revoke-hidden a	Privacy Policy	<a href="https://themesquare.com/privacy-policy/" target="_blank" id="cn-more-info" class="cn-more-info cn-button wp-default button" aria-label="Privacy Policy">Privacy Policy</a>
themesquare.com	2	other	other	.cookie-revoke-hidden a	We use cookies to ensure that we give you the best experience on our website. If you continue to use this site we will assume that you are happy with it.AcceptPrivacy Policy	<a href="javascript:void(0);" id="cn-close-notice" data-cookie-set="accept" class="cn-close-icon" aria-label="Accept"></a>
themesquare.com	3	policy link	policy link	.cookie-revoke-hidden span[class*="button"]	AcceptPrivacy Policy	<span id="cn-notice-buttons" class="cn-buttons-container"><a href="#" id="cn-accept-cookie" data-cookie-set="accept" class="cn-set-cookie cn-button wp-default button" aria-label="Accept">Accept</a><a href="https://themesquare.com/privacy-policy/" target="_blank" id="cn-more-info" class="cn-more-info cn-button wp-default button" aria-label="Privacy Policy">Privacy Policy</a></span>
themesquare.com	4	duplicate	duplicate	.cookie-revoke-hidden [class*="close"]	We use cookies to ensure that we give you the best experience on our website. If you continue to use this site we will assume that you are happy with it.AcceptPrivacy Policy	<a href="javascript:void(0);" id="cn-close-notice" data-cookie-set="accept" class="cn-close-icon" aria-label="Accept"></a>
themesquare.com	5	duplicate	duplicate	.cookie-revoke-hidden [class*="button"]	AcceptPrivacy Policy	<span id="cn-notice-buttons" class="cn-buttons-container"><a href="#" id="cn-accept-cookie" data-cookie-set="accept" class="cn-set-cookie cn-button wp-default button" aria-label="Accept">Accept</a><a href="https://themesquare.com/privacy-policy/" target="_blank" id="cn-more-info" class="cn-more-info cn-button wp-default button" aria-label="Privacy Policy">Privacy Policy</a></span>
themesquare.com	6	duplicate	duplicate	.cookie-revoke-hidden [class*="button"]	Accept	<a href="#" id="cn-accept-cookie" data-cookie-set="accept" class="cn-set-cookie cn-button wp-default button" aria-label="Accept">Accept</a>
themesquare.com	7	duplicate	duplicate	.cookie-revoke-hidden [class*="button"]	Privacy Policy	<a href="https://themesquare.com/privacy-policy/" target="_blank" id="cn-more-info" class="cn-more-info cn-button wp-default button" aria-label="Privacy Policy">Privacy Policy</a>
themesquare.com	8	duplicate	duplicate	.cookie-revoke-hidden [id*="accept"]	Accept	<a href="#" id="cn-accept-cookie" data-cookie-set="accept" class="cn-set-cookie cn-button wp-default button" aria-label="Accept">Accept</a>
docpath.com	0	opt-in option	opt-in option	#cmplz-cookiebanner-container button 	Accept cookies	<button class="cmplz-btn cmplz-accept">Accept cookies</button>
docpath.com	1	other	other	#cmplz-cookiebanner-container button 	.	<button class="cmplz-btn cmplz-deny">.</button>
docpath.com	2	more options	more options	#cmplz-cookiebanner-container button 	View preferences	<button class="cmplz-btn cmplz-view-preferences">View preferences</button>
docpath.com	3	confirm preferences	confirm preferences	#cmplz-cookiebanner-container button 	Save preferences	<button class="cmplz-btn cmplz-save-preferences" style="">Save preferences</button>
docpath.com	4	close option	close option	#cmplz-cookiebanner-container a	close	<a class="cmplz-close" tabindex="0" role="button"><svg aria-hidden="true" focusable="false" data-prefix="fas" data-icon="times" class="svg-inline--fa fa-times fa-w-11" role="img" xmlns="http://www.w3.org/2000/svg" viewBox="0 0 352 512"><title>close</title><path fill="currentColor" d="M242.72 256l100.07-100.07c12.28-12.28 12.28-32.19 0-44.48l-22.24-22.24c-12.28-12.28-32.19-12.28-44.48 0L176 189.28 75.93 89.21c-12.28-12.28-32.19-12.28-44.48 0L9.21 111.45c-12.28 12.28-12.28 32.19 0 44.48L109.28 256 9.21 356.07c-12.28 12.28-12.28 32.19 0 44.48l22.24 22.24c12.28 12.28 32.2 12.28 44.48 0L176 322.72l100.07 100.07c12.28 12.28 32.2 12.28 44.48 0l22.24-22.24c12.28-12.28 12.28-32.19 0-44.48L242.72 256z"></path></svg></a>
docpath.com	5	other	other	#cmplz-cookiebanner-container a	Manage third parties	<a class="cmplz-link cmplz-manage-third-parties cookie-statement" href="https://www.docpath.com/cookies-policy/#cmplz-manage-consent-container" data-relative_url="#cmplz-manage-consent-container">Manage third parties</a>
docpath.com	6	other	other	#cmplz-cookiebanner-container a	Read more about these purposes	<a class="cmplz-link cmplz-external cmplz-read-more-purposes tcf" target="_blank" rel="noopener noreferrer nofollow" href="https://cookiedatabase.org/tcf/purposes/" style="">Read more about these purposes</a>
docpath.com	7	policy link	policy link	#cmplz-cookiebanner-container a	Cookie Policy	<a class="cmplz-link cookie-statement" href="https://www.docpath.com/cookies-policy/" data-relative_url="">Cookie Policy</a>
docpath.com	8	policy link	policy link	#cmplz-cookiebanner-container a	DocPath Privacy Policy EN	<a class="cmplz-link privacy-statement" href="https://www.docpath.com/privacy-policy/" data-relative_url="">DocPath Privacy Policy EN</a>
docpath.com	9	other	other	#cmplz-cookiebanner-container a	{title}	<a class="cmplz-link impressum cmplz-hidden" href="#" data-relative_url="" style="">{title}</a>
docpath.com	10	duplicate	duplicate	#cmplz-cookiebanner-container [role='button']	close	<a class="cmplz-close" tabindex="0" role="button"><svg aria-hidden="true" focusable="false" data-prefix="fas" data-icon="times" class="svg-inline--fa fa-times fa-w-11" role="img" xmlns="http://www.w3.org/2000/svg" viewBox="0 0 352 512"><title>close</title><path fill="currentColor" d="M242.72 256l100.07-100.07c12.28-12.28 12.28-32.19 0-44.48l-22.24-22.24c-12.28-12.28-32.19-12.28-44.48 0L176 189.28 75.93 89.21c-12.28-12.28-32.19-12.28-44.48 0L9.21 111.45c-12.28 12.28-12.28 32.19 0 44.48L109.28 256 9.21 356.07c-12.28 12.28-12.28 32.19 0 44.48l22.24 22.24c12.28 12.28 32.2 12.28 44.48 0L176 322.72l100.07 100.07c12.28 12.28 32.2 12.28 44.48 0l22.24-22.24c12.28-12.28 12.28-32.19 0-44.48L242.72 256z"></path></svg></a>
docpath.com	11	duplicate	duplicate	#cmplz-cookiebanner-container [class*="close"]	close	<a class="cmplz-close" tabindex="0" role="button"><svg aria-hidden="true" focusable="false" data-prefix="fas" data-icon="times" class="svg-inline--fa fa-times fa-w-11" role="img" xmlns="http://www.w3.org/2000/svg" viewBox="0 0 352 512"><title>close</title><path fill="currentColor" d="M242.72 256l100.07-100.07c12.28-12.28 12.28-32.19 0-44.48l-22.24-22.24c-12.28-12.28-32.19-12.28-44.48 0L176 189.28 75.93 89.21c-12.28-12.28-32.19-12.28-44.48 0L9.21 111.45c-12.28 12.28-12.28 32.19 0 44.48L109.28 256 9.21 356.07c-12.28 12.28-12.28 32.19 0 44.48l22.24 22.24c12.28 12.28 32.2 12.28 44.48 0L176 322.72l100.07 100.07c12.28 12.28 32.2 12.28 44.48 0l22.24-22.24c12.28-12.28 12.28-32.19 0-44.48L242.72 256z"></path></svg></a>
docpath.com	12	duplicate	duplicate	#cmplz-cookiebanner-container [class*="accept"]	Accept cookies	<button class="cmplz-btn cmplz-accept">Accept cookies</button>
eyupsabrituncer.com	0	policy link	policy link	#cerekKullanimUyari a	'Cookie Policies	<a href="/cerezler">'<span style="text-decoration: underline;">Çerez Politikaları'</span>nı </a>
eyupsabrituncer.com	1	other	other	#cerekKullanimUyari [class*="close"]	The use of cookiesTo improve your shopping experience, we use cookies on our site.To get detailed information on the subject, you can review 'Cookie Policies.	<span class="closeBtn" onclick="closeCerezUyarisi()"><i class="fa fa-times"></i></span>
rbx.gg	0	policy link	policy link	div[id*="cmp"] button 	partners	<button mode="link" class="sc-ifAKCX hAZkHG sc-gqjmRU VqKBf" tabindex="0" type="button">partners</button>
rbx.gg	1	more options	more options	div[id*="cmp"] button 	MORE OPTIONS	<button mode="secondary" tabindex="0" type="button" class="sc-ifAKCX hIGsQq" id="geom_inter_1644754447763_100_5">MORE OPTIONS</button>
rbx.gg	2	opt-in option	opt-in option	div[id*="cmp"] button 	AGREE	<button tabindex="0" type="button" mode="primary" class="sc-ifAKCX ljEJIv" id="geom_inter_1644754447767_62_6">AGREE</button>
rbx.gg	3	opt-in option	opt-in option	div[id*="cmp"] [class*="button"]	MORE OPTIONSAGREE	<div class="qc-cmp2-summary-buttons" id="geom_inter_1644754447763_63_4"><button mode="secondary" tabindex="0" type="button" class="sc-ifAKCX hIGsQq" id="geom_inter_1644754447763_100_5">MORE OPTIONS</button><button tabindex="0" type="button" mode="primary" class="sc-ifAKCX ljEJIv" id="geom_inter_1644754447767_62_6">AGREE</button></div>
veygo.com	0	opt-in option	opt-in option	#ccc-notify button 	Accept	<button id="ccc-notify-accept" class="ccc-notify-button ccc-link ccc-tabbable ccc-accept-button"><span>Accept</span></button>
veygo.com	1	more options	more options	#ccc-notify button 	Settings	<button class="ccc-notify-button ccc-link ccc-tabbable ccc-notify-link"><span>Settings</span></button>
veygo.com	2	policy link	policy link	#ccc-notify a	Cookie Policy	<a href="https://www.veygo.com/cookie-policy/" target="_blank"><strong>Cookie Policy<br><br></strong></a>
veygo.com	3	other	other	#ccc-notify [class*="button"]	AcceptSettings	<div class="ccc-notify-buttons"><button id="ccc-notify-accept" class="ccc-notify-button ccc-link ccc-tabbable ccc-accept-button"><span>Accept</span></button><button class="ccc-notify-button ccc-link ccc-tabbable ccc-notify-link"><span>Settings</span></button></div>
veygo.com	4	duplicate	duplicate	#ccc-notify [class*="button"]	Accept	<button id="ccc-notify-accept" class="ccc-notify-button ccc-link ccc-tabbable ccc-accept-button"><span>Accept</span></button>
veygo.com	5	duplicate	duplicate	#ccc-notify [class*="button"]	Settings	<button class="ccc-notify-button ccc-link ccc-tabbable ccc-notify-link"><span>Settings</span></button>
veygo.com	6	duplicate	duplicate	#ccc-notify [id*="accept"]	Accept	<button id="ccc-notify-accept" class="ccc-notify-button ccc-link ccc-tabbable ccc-accept-button"><span>Accept</span></button>
veygo.com	7	duplicate	duplicate	#ccc-notify [class*="accept"]	Accept	<button id="ccc-notify-accept" class="ccc-notify-button ccc-link ccc-tabbable ccc-accept-button"><span>Accept</span></button>
circleline.com	0	policy link	policy link	.cc-banner a	click here.	<a aria-label="learn more about cookies" role="button" tabindex="0" class="cc-link" href="https://nycl.com/cookie-policy/?__hstc=42869242.d06b71da84b4e069bb95e760b23a782d.1644754968973.1644754968973.1644754968973.1&amp;__hssc=42869242.1.1644754968973&amp;__hsfp=3570997368" rel="noopener noreferrer nofollow" target="_blank">click here.</a>
circleline.com	1	opt-in option	opt-in option	.cc-banner a	Accept	<a aria-label="dismiss cookie message" role="button" tabindex="0" class="cc-btn cc-dismiss">Accept</a>
circleline.com	2	duplicate	duplicate	.cc-banner [role='button']	click here.	<a aria-label="learn more about cookies" role="button" tabindex="0" class="cc-link" href="https://nycl.com/cookie-policy/?__hstc=42869242.d06b71da84b4e069bb95e760b23a782d.1644754968973.1644754968973.1644754968973.1&amp;__hssc=42869242.1.1644754968973&amp;__hsfp=3570997368" rel="noopener noreferrer nofollow" target="_blank">click here.</a>
circleline.com	3	duplicate	duplicate	.cc-banner [role='button']	Accept	<a aria-label="dismiss cookie message" role="button" tabindex="0" class="cc-btn cc-dismiss">Accept</a>
signeasy.com	0	policy link	policy link	.cookies-inner a	privacy policy.	<a href="/privacy">privacy policy.</a>
signeasy.com	1	opt-in option	opt-in option	.cookies-inner a	Got it	<a href="#" class="close-consent w-button">Got it</a>
signeasy.com	2	duplicate	duplicate	.cookies-inner [class*="close"]	Got it	<a href="#" class="close-consent w-button">Got it</a>
signeasy.com	3	duplicate	duplicate	.cookies-inner [class*="button"]	Got it	<a href="#" class="close-consent w-button">Got it</a>
spio.de	0	policy link	policy link	.BorlabsCookie a	Data protection	<a class="_brlbs-cursor" href="https://www.spio.de/allgemein/datenschutzerklaerung-2/">Datenschutzerklärung</a>
spio.de	1	other	other	.BorlabsCookie a	ideas	<a class="_brlbs-cursor" href="#" data-cookie-individual="">Einstellungen</a>
spio.de	2	opt-in option	opt-in option	.BorlabsCookie a	Accept all	<a href="#" tabindex="0" role="button" class="_brlbs-btn _brlbs-btn-accept-all _brlbs-cursor" data-cookie-accept-all="">                                            Alle akzeptieren                                        </a>
spio.de	3	preference slider	preference slider	.BorlabsCookie a	Save on computer	<a href="#" tabindex="0" role="button" id="CookieBoxSaveButton" class="_brlbs-btn _brlbs-cursor" data-cookie-accept="">                                            Speichern                                        </a>
spio.de	4	more options	more options	.BorlabsCookie a	Individual privacy settings	<a href="#" class="_brlbs-cursor" tabindex="0" role="button" data-cookie-individual="">                                        Individuelle Datenschutzeinstellungen                                    </a>
spio.de	5	policy link	policy link	.BorlabsCookie a	Cookie-Details	<a href="#" class="_brlbs-cursor" tabindex="0" role="button" data-cookie-individual="">                                        Cookie-Details                                    </a>
spio.de	6	policy link	policy link	.BorlabsCookie a	Data protection	<a href="https://www.spio.de/allgemein/datenschutzerklaerung-2/" tabindex="0" role="button">                                            Datenschutzerklärung                                        </a>
spio.de	7	other	other	.BorlabsCookie a	Impressum	<a href="https://www.spio.de/allgemein/impressum-2/" tabindex="0" role="button">                                            Impressum                                        </a>
spio.de	8	duplicate	duplicate	.BorlabsCookie a	Data protection	<a class="_brlbs-cursor" href="https://www.spio.de/allgemein/datenschutzerklaerung-2/">Datenschutzerklärung</a>
spio.de	9	duplicate	duplicate	.BorlabsCookie a	ideas	<a class="_brlbs-cursor" href="#" data-cookie-individual="">Einstellungen</a>
spio.de	10	opt-in option	opt-in option	.BorlabsCookie a	Accept all	<a href="#" class="_brlbs-btn _brlbs-btn-accept-all _brlbs-cursor" tabindex="0" role="button" data-cookie-accept-all="">                                            Alle akzeptieren                                        </a>
spio.de	11	preference slider	preference slider	.BorlabsCookie a	Save on computer	<a href="#" id="CookiePrefSave" tabindex="0" role="button" class="_brlbs-btn _brlbs-cursor" data-cookie-accept="">                                        Speichern                                    </a>
spio.de	12	other	other	.BorlabsCookie a	Back	<a href="#" class="_brlbs-cursor" tabindex="0" role="button" data-cookie-back="">                                        Zurück                                    </a>
spio.de	13	close option	close option	.BorlabsCookie a	Show cookie information                                                        Hide cookie information	<a href="#" class="_brlbs-cursor d-block" tabindex="0" role="button" data-cookie-accordion-target="essential">                                                    <span data-cookie-accordion-status="show">                                                        Cookie-Informationen anzeigen                                                    </span>                                                    <span data-cookie-accordion-status="hide" class="borlabs-hide">                                                        Cookie-Informationen ausblenden                                                    </span>                                                </a>
spio.de	14	close option	close option	.BorlabsCookie a	Show cookie information                                                        Hide cookie information	<a href="#" class="_brlbs-cursor d-block" tabindex="0" role="button" data-cookie-accordion-target="statistics">                                                    <span data-cookie-accordion-status="show">                                                        Cookie-Informationen anzeigen                                                    </span>                                                    <span data-cookie-accordion-status="hide" class="borlabs-hide">                                                        Cookie-Informationen ausblenden                                                    </span>                                                </a>
spio.de	15	close option	close option	.BorlabsCookie a	Show cookie information                                                        Hide cookie information	<a href="#" class="_brlbs-cursor d-block" tabindex="0" role="button" data-cookie-accordion-target="external-media">                                                    <span data-cookie-accordion-status="show">                                                        Cookie-Informationen anzeigen                                                    </span>                                                    <span data-cookie-accordion-status="hide" class="borlabs-hide">                                                        Cookie-Informationen ausblenden                                                    </span>                                                </a>
spio.de	16	policy link	policy link	.BorlabsCookie a	Data protection	<a href="https://www.spio.de/allgemein/datenschutzerklaerung-2/">                                Datenschutzerklärung                            </a>
spio.de	17	other	other	.BorlabsCookie a	                                Impressum                            	<a href="https://www.spio.de/allgemein/impressum-2/">                                Impressum                            </a>
spio.de	18	duplicate	duplicate	.BorlabsCookie [role='button']	Accept all	<a href="#" tabindex="0" role="button" class="_brlbs-btn _brlbs-btn-accept-all _brlbs-cursor" data-cookie-accept-all="">                                            Alle akzeptieren                                        </a>
spio.de	19	duplicate	duplicate	.BorlabsCookie [role='button']	Save on computer	<a href="#" tabindex="0" role="button" id="CookieBoxSaveButton" class="_brlbs-btn _brlbs-cursor" data-cookie-accept="">                                            Speichern                                        </a>
spio.de	20	duplicate	duplicate	.BorlabsCookie [role='button']	Individual privacy settings	<a href="#" class="_brlbs-cursor" tabindex="0" role="button" data-cookie-individual="">                                        Individuelle Datenschutzeinstellungen                                    </a>
spio.de	21	duplicate	duplicate	.BorlabsCookie [role='button']	Cookie-Details	<a href="#" class="_brlbs-cursor" tabindex="0" role="button" data-cookie-individual="">                                        Cookie-Details                                    </a>
spio.de	22	duplicate	duplicate	.BorlabsCookie [role='button']	Data protection	<a href="https://www.spio.de/allgemein/datenschutzerklaerung-2/" tabindex="0" role="button">                                            Datenschutzerklärung                                        </a>
spio.de	23	duplicate	duplicate	.BorlabsCookie [role='button']	Impressum	<a href="https://www.spio.de/allgemein/impressum-2/" tabindex="0" role="button">                                            Impressum                                        </a>
spio.de	24	duplicate	duplicate	.BorlabsCookie [role='button']	Accept all	<a href="#" class="_brlbs-btn _brlbs-btn-accept-all _brlbs-cursor" tabindex="0" role="button" data-cookie-accept-all="">                                            Alle akzeptieren                                        </a>
spio.de	25	duplicate	duplicate	.BorlabsCookie [role='button']	Save on computer	<a href="#" id="CookiePrefSave" tabindex="0" role="button" class="_brlbs-btn _brlbs-cursor" data-cookie-accept="">                                        Speichern                                    </a>
spio.de	26	duplicate	duplicate	.BorlabsCookie [role='button']	Back	<a href="#" class="_brlbs-cursor" tabindex="0" role="button" data-cookie-back="">                                        Zurück                                    </a>
spio.de	27	duplicate	duplicate	.BorlabsCookie [role='button']	Show cookie information                                                        Hide cookie information	<a href="#" class="_brlbs-cursor d-block" tabindex="0" role="button" data-cookie-accordion-target="essential">                                                    <span data-cookie-accordion-status="show">                                                        Cookie-Informationen anzeigen                                                    </span>                                                    <span data-cookie-accordion-status="hide" class="borlabs-hide">                                                        Cookie-Informationen ausblenden                                                    </span>                                                </a>
spio.de	28	duplicate	duplicate	.BorlabsCookie [role='button']	Show cookie information                                                        Hide cookie information	<a href="#" class="_brlbs-cursor d-block" tabindex="0" role="button" data-cookie-accordion-target="statistics">                                                    <span data-cookie-accordion-status="show">                                                        Cookie-Informationen anzeigen                                                    </span>                                                    <span data-cookie-accordion-status="hide" class="borlabs-hide">                                                        Cookie-Informationen ausblenden                                                    </span>                                                </a>
spio.de	29	duplicate	duplicate	.BorlabsCookie [role='button']	Show cookie information                                                        Hide cookie information	<a href="#" class="_brlbs-cursor d-block" tabindex="0" role="button" data-cookie-accordion-target="external-media">                                                    <span data-cookie-accordion-status="show">                                                        Cookie-Informationen anzeigen                                                    </span>                                                    <span data-cookie-accordion-status="hide" class="borlabs-hide">                                                        Cookie-Informationen ausblenden                                                    </span>                                                </a>
spio.de	30	preference slider	preference slider	.BorlabsCookie input[type="checkbox"]	Essential	<input id="checkbox-essential" tabindex="0" type="checkbox" name="cookieGroup[]" value="essential" checked="" disabled="" data-borlabs-cookie-checkbox="">
spio.de	31	preference slider	preference slider	.BorlabsCookie input[type="checkbox"]	statistics	<input id="checkbox-statistics" tabindex="0" type="checkbox" name="cookieGroup[]" value="statistics" checked="" data-borlabs-cookie-checkbox="">
spio.de	32	preference slider	preference slider	.BorlabsCookie input[type="checkbox"]	External media	<input id="checkbox-external-media" tabindex="0" type="checkbox" name="cookieGroup[]" value="external-media" checked="" data-borlabs-cookie-checkbox="">
spio.de	33	preference slider	preference slider	.BorlabsCookie input[type="checkbox"]		<input tabindex="0" id="borlabs-cookie-group-statistics" type="checkbox" name="cookieGroup[]" value="statistics" checked="" data-borlabs-cookie-switch="">
spio.de	34	preference slider	preference slider	.BorlabsCookie input[type="checkbox"]		<input tabindex="0" id="borlabs-cookie-group-external-media" type="checkbox" name="cookieGroup[]" value="external-media" checked="" data-borlabs-cookie-switch="">
spio.de	35	other	other	.BorlabsCookie span[class*="btn"]		<span class="_brlbs-btn-switch-status" data-active="An" data-inactive="Aus">                                                        </span>
spio.de	36	duplicate	duplicate	.BorlabsCookie span[class*="btn"]		<span class="_brlbs-btn-switch-status" data-active="An" data-inactive="Aus">                                                        </span>
spio.de	37	duplicate	duplicate	.BorlabsCookie span[class*="btn"]		<span class="_brlbs-btn-switch-status" data-active="An" data-inactive="Aus">                                                        </span>
spio.de	38	duplicate	duplicate	.BorlabsCookie span[class*="btn"]		<span class="_brlbs-btn-switch-status" data-active="An" data-inactive="Aus">                                                        </span>
spio.de	39	opt-in option	opt-in option	.BorlabsCookie [class*="accept"]	Accept all	<p class="_brlbs-accept">                                        <a href="#" tabindex="0" role="button" class="_brlbs-btn _brlbs-btn-accept-all _brlbs-cursor" data-cookie-accept-all="">                                            Alle akzeptieren                                        </a>                                    </p>
spio.de	40	duplicate	duplicate	.BorlabsCookie [class*="accept"]	Accept all	<a href="#" tabindex="0" role="button" class="_brlbs-btn _brlbs-btn-accept-all _brlbs-cursor" data-cookie-accept-all="">                                            Alle akzeptieren                                        </a>
spio.de	41	preference slider	preference slider	.BorlabsCookie [class*="accept"]	Save on computer	<p class="_brlbs-accept">                                        <a href="#" tabindex="0" role="button" id="CookieBoxSaveButton" class="_brlbs-btn _brlbs-cursor" data-cookie-accept="">                                            Speichern                                        </a>                                    </p>
spio.de	42	preference slider	preference slider	.BorlabsCookie [class*="accept"]	Accept all                                        Save on computer	<p class="_brlbs-accept">                                                                            <a href="#" class="_brlbs-btn _brlbs-btn-accept-all _brlbs-cursor" tabindex="0" role="button" data-cookie-accept-all="">                                            Alle akzeptieren                                        </a>                                                                            <a href="#" id="CookiePrefSave" tabindex="0" role="button" class="_brlbs-btn _brlbs-cursor" data-cookie-accept="">                                        Speichern                                    </a>                                                                    </p>
spio.de	43	duplicate	duplicate	.BorlabsCookie [class*="accept"]	Accept all	<a href="#" class="_brlbs-btn _brlbs-btn-accept-all _brlbs-cursor" tabindex="0" role="button" data-cookie-accept-all="">                                            Alle akzeptieren                                        </a>
net-a-porter.com	0	opt-in option	opt-in option	#tc-privacy-wrapper button 	Accept all	<button id="footer_tc_privacy_button_3" class="tc-reset-css tc-privacy-button" type="button" title="Accept all">Accept all</button>
net-a-porter.com	1	opt-out option	opt-out option	#tc-privacy-wrapper button 	Allow only essential cookies	<button id="footer_tc_privacy_button_2" class="tc-reset-css tc-privacy-button" type="button" title="Allow only essential cookies">Allow only essential cookies</button>
net-a-porter.com	2	more options	more options	#tc-privacy-wrapper button 	Manage cookies	<button id="footer_tc_privacy_button" class="tc-reset-css tc-privacy-button" type="button" title="Manage cookies">Manage cookies</button>
net-a-porter.com	3	policy link	policy link	#tc-privacy-wrapper a	Cookie Policy	<a href="https://www.net-a-porter.com/content/help/cookie-policy/">Cookie Policy</a>
net-a-porter.com	4	opt-out option	opt-out option	#tc-privacy-wrapper [class*="button"]	Accept allAllow only essential cookiesManage cookies	<div id="footer_tc_privacy_container_button" class="tc-reset-css tc-privacy-block-button"><button id="footer_tc_privacy_button_3" class="tc-reset-css tc-privacy-button" type="button" title="Accept all">Accept all</button><button id="footer_tc_privacy_button_2" class="tc-reset-css tc-privacy-button" type="button" title="Allow only essential cookies">Allow only essential cookies</button><button id="footer_tc_privacy_button" class="tc-reset-css tc-privacy-button" type="button" title="Manage cookies">Manage cookies</button></div>
net-a-porter.com	5	duplicate	duplicate	#tc-privacy-wrapper [class*="button"]	Accept all	<button id="footer_tc_privacy_button_3" class="tc-reset-css tc-privacy-button" type="button" title="Accept all">Accept all</button>
net-a-porter.com	6	duplicate	duplicate	#tc-privacy-wrapper [class*="button"]	Allow only essential cookies	<button id="footer_tc_privacy_button_2" class="tc-reset-css tc-privacy-button" type="button" title="Allow only essential cookies">Allow only essential cookies</button>
